,country,eastwest,eumember,year,expert,party_id,cmp_id,party,vote,seat,electionyear,epvote,family,govt,eu_position,eu_salience,eu_dissent,eu_blur,eu_benefit,eu_ep,eu_fiscal,eu_intmark,eu_employ,eu_budgets,eu_agri,eu_cohesion,eu_environ,eu_asylum,eu_foreign,eu_turkey,lrgen,lrecon,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_salience,galtan_dissent,galtan_blur,spendvtax,spendvtax_salience,deregulation,dereg_salience,redistribution,redist_salience,econ_interven,civlib_laworder,civlib_salience,sociallifestyle,social_salience,religious_principles,relig_salience,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,urban_rural,urban_salience,environment,enviro_salience,cosmo,cosmo_salience,protectionism,regions,region_salience,international_security,international_salience,us,us_salience,ethnic_minorities,ethnic_salience,nationalism,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,mip_one,mip_two,mip_three,chesversion
0,be,west,EU member state,1999.0,9.0,115.0,,FN,1.5,0.7,1999.0,1.5199999809265137,rad right,not in government,2.142857074737549,1.5625,2.0833335,,,neutral towards expanding EP powers,2.799999952316284,,2.5,,,1.6666666269302368,3.5999999046325684,1.25,2.0,,9.88888931274414,8.75,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
1,be,west,EU member state,1999.0,9.0,109.0,21521.0,CVP,14.1000003814697,14.7,1999.0,13.489999771118164,christdem,0.5,6.888888835906982,4.7222223,0.83333343,,,6.25,6.0,,5.666666507720947,,,5.875,5.55555534362793,5.55555534362793,6.55555534362793,,5.777777671813965,5.75,,,,7.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
2,be,west,EU member state,1999.0,9.0,107.0,21421.0,PVV/VLD,14.3,15.3,1999.0,13.609999656677246,liberal,0.5,6.666666507720947,4.166667,0.83333343,,,6.25,5.625,,4.625,,,5.375,5.125,5.5,6.55555534362793,,7.111111164093018,7.625,,,,5.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
3,be,west,EU member state,1999.0,9.0,106.0,21422.0,PRL,7.7,9.0,1999.0,6.690000057220459,liberal,0.5,6.55555534362793,4.166667,0.83333343,,,6.25,5.625,,4.625,,,5.625,5.0,5.5,6.55555534362793,,6.666666507720947,7.0,,,,4.714285850524902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
4,be,west,EU member state,1999.0,9.0,110.0,21913.0,VU,5.6,5.3,1999.0,7.570000171661377,regionalist,not in government,5.0,3.6111112,1.875,,,6.0,5.25,,5.400000095367432,,,5.333333492279053,5.44444465637207,5.0,4.875,,5.125,center,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
5,be,west,EU member state,1999.0,9.0,111.0,21912.0,FDF,2.4,3.0,1999.0,3.3399999141693115,regionalist,not in government,6.142857074737549,3.6111112,1.4285713,,,6.4285712242126465,5.5,,5.333333492279053,,,5.285714149475098,5.5714287757873535,4.833333492279053,6.285714149475098,,6.111111164093018,6.25,,,,5.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
6,be,west,EU member state,1999.0,9.0,103.0,21321.0,SP,9.6,9.3,1999.0,8.84000015258789,socialist,in government,6.666666507720947,4.7222223,1.111111,,,6.333333492279053,6.666666507720947,,6.55555534362793,,,6.25,6.0,5.666666507720947,6.55555534362793,,3.3333332538604736,3.125,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
7,be,west,EU member state,1999.0,9.0,113.0,,MCC,,,1999.0,,christdem,not in government,6.4285712242126465,3.75,0.83333343,,,6.5,6.25,,6.0,,,6.199999809265137,5.400000095367432,5.0,6.400000095367432,,5.5714287757873535,5.800000190734863,,,,5.800000190734863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
8,be,west,EU member state,1999.0,9.0,114.0,,ID21,,,1999.0,,regionalist,not in government,4.625,3.4375,1.4285713,,,5.666666507720947,5.0,,5.400000095367432,,,5.199999809265137,5.666666507720947,5.125,4.875,,5.142857074737549,5.142857074737549,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
9,be,west,EU member state,1999.0,9.0,108.0,21522.0,PSC,5.9,6.7,1999.0,4.949999809265137,christdem,0.5,6.888888835906982,4.7222223,0.5555555,,,6.375,6.0,,5.666666507720947,,,6.375,5.55555534362793,5.666666507720947,6.55555534362793,,5.222222328186035,5.25,,,,6.4285712242126465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
10,be,west,EU member state,1999.0,9.0,102.0,21322.0,PS,10.2,12.7,1999.0,9.59000015258789,socialist,in government,6.666666507720947,4.7222223,1.388889,,,6.333333492279053,6.666666507720947,,6.55555534362793,,,6.625,5.888888835906982,5.666666507720947,6.55555534362793,,3.1111111640930176,2.625,,,,3.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
11,be,west,EU member state,1999.0,9.0,105.0,21112.0,AGALEV,7.0,6.0,1999.0,7.460000038146973,green,0.5,6.0,3.6111112,1.6666665,,,6.777777671813965,6.375,,6.0,,,6.5714287757873535,6.888888835906982,5.875,5.111111164093018,,2.444444417953491,2.125,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
12,be,west,EU member state,1999.0,9.0,112.0,21914.0,VB,9.9,10.0,1999.0,9.390000343322754,rad right,not in government,2.222222328186035,1.9444444,1.111111,,,4.125,2.857142925262451,,2.5,,,1.600000023841858,3.4285714626312256,1.625,3.125,,9.88888931274414,8.75,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
13,be,west,EU member state,1999.0,9.0,104.0,21111.0,ECOLO,7.3,7.3,1999.0,8.4399995803833,green,0.5,5.777777671813965,3.6111112,1.6666665,,,6.777777671813965,6.375,,6.0,,,6.5714287757873535,6.777777671813965,5.875,5.111111164093018,,1.8888888359069824,1.75,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
14,be,west,EU member state,2002.0,11.0,102.0,21322.0,PS,10.2,12.7,1999.0,9.59000015258789,socialist,in government,6.09,4.533333,2.1111112,,,6.0,,4.1,6.55,,4.88,5.85,5.0,6.3,6.33,,3.35,2.5,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
15,be,west,EU member state,2002.0,11.0,108.0,21522.0,CDH,5.9,6.7,1999.0,4.949999809265137,christdem,not in government,6.3,4.8,1.7777777,,,6.11,,5.78,5.63,,6.13,5.57,5.25,6.3,6.44,,5.65,6.0,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
16,be,west,EU member state,2002.0,11.0,109.0,21521.0,CD&V,14.1,14.7,1999.0,13.489999771118164,christdem,not in government,6.64,5.1666665,1.8222224,,,6.18,,5.8,5.78,,6.0,4.67,5.11,6.45,6.63,,5.95,5.82,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
17,be,west,EU member state,2002.0,11.0,107.0,21421.0,VLD,14.3,15.3,1999.0,13.609999656677246,liberal,in government,6.54,6.0666666,1.8222224,,,6.27,,6.7,4.67,,3.89,4.29,4.78,6.55,6.82,,6.23,7.45,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
18,be,west,EU member state,2002.0,11.0,105.0,21112.0,AGALEV,7.0,6.0,1999.0,7.460000038146973,green,in government,5.95,4.8333335,2.6666667,,,6.7,,3.78,6.33,,3.25,5.33,6.8,5.6,5.1,,2.64,2.45,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
19,be,west,EU member state,2002.0,11.0,112.0,21914.0,VB,9.9,10.0,1999.0,9.390000343322754,rad right,not in government,2.73,2.4333334,1.8222224,,,3.33,,2.88,2.6,,2.33,2.33,2.67,3.6,2.75,,9.55,7.9,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
20,be,west,EU member state,2002.0,11.0,103.0,21321.0,SP,9.6,9.3,1999.0,8.84000015258789,socialist,in government,5.45,5.466667,4.044444,,,6.0,,neutral toward expanding EU powers on the internal market,6.56,,3.78,5.43,5.56,6.45,6.55,,3.5,3.0,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
21,be,west,EU member state,2002.0,11.0,110.0,21916.0,NVA,5.6,5.3,1999.0,7.570000171661377,regionalist,not in government,5.0,3.9333336,3.9555554,,,5.78,,5.0,4.8,,3.5,4.75,5.2,6.4,5.0,,6.22,5.67,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
22,be,west,EU member state,2002.0,11.0,106.0,21426.0,MR,10.1,12.0,1999.0,6.690000057220459,liberal,in government,6.22,6.3333335,2.1111112,,,5.8,,6.33,4.86,,4.86,5.43,4.86,6.4,6.89,,6.35,7.3,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
23,be,west,EU member state,2002.0,11.0,104.0,21111.0,ECOLO,7.3,7.3,1999.0,8.4399995803833,green,in government,5.9,5.0,2.3444443,,,6.67,,3.88,6.33,,3.29,5.5,6.78,5.56,5.0,,2.56,2.4,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.1
24,be,west,EU member state,2006.0,10.0,109.0,21521.0,CD&V,13.3,14.0,2003.0,13.050000190734863,christdem,not in government,6.3,4.0,1.89,,,6.33,,5.67,,,,6.14,,,6.13,3.56,5.56,5.563,,,,7.25,,,,5.5,5.880000114440918,5.329999923706055,6.380000114440918,3.630000114440918,6.0,,6.380000114440918,6.880000114440918,6.440000057220459,6.880000114440918,6.5,5.880000114440918,5.880000114440918,5.630000114440918,,7.13,,,6.800000190734863,4.199999809265137,,,6.38,6.38,,3.63,7.0,,,6.29,3.57,5.329999923706055,5.139999866485596,,,,,,,,,,,2020.1
25,be,west,EU member state,2006.0,7.0,106.0,21426.0,MR,11.4,16.0,2003.0,10.300000190734863,liberal,in government,6.43,3.3333333,0.86,,,6.33,,6.5,,,,6.33,,,6.33,4.2,6.67,7.5,,,,4.0,,,,8.5,8.670000076293945,7.5,7.670000076293945,6.670000076293945,6.0,,7.0,5.829999923706055,4.829999923706055,5.5,3.8299999237060547,4.5,5.329999923706055,5.829999923706055,,6.6,,,6.0,3.799999952316284,,,5.5,4.5,,7.17,7.83,,,5.5,2.83,5.670000076293945,5.5,,,,,,,,,,,2020.1
26,be,west,EU member state,2006.0,10.0,105.0,21112.0,Groen,2.5,0.0,2003.0,4.900000095367432,green,not in government,5.1,5.0,2.89,,,6.43,,neutral toward expanding EU powers on the internal market,,,,5.43,,,4.88,5.67,1.89,1.63,,,,0.63,,,,1.1299999952316284,5.380000114440918,1.440000057220459,6.5,1.0,7.75,,3.630000114440918,4.75,0.6299999952316284,8.25,1.8799999952316284,3.130000114440918,1.1299999952316284,8.25,,0.75,,,3.0,3.5999999046325684,,,0.63,5.5,,5.25,2.38,,,0.86,5.14,1.0,7.570000171661377,,,,,,,,,,,2020.1
27,be,west,EU member state,2006.0,10.0,110.0,21916.0,NVA,3.1,0.7,2003.0,4.349999904632568,regionalist,not in government,4.9,3.3333333,2.5,,,5.83,,4.88,,,,5.57,,,5.0,2.89,7.89,7.13,,,,8.57,,,,6.75,5.25,6.110000133514404,3.630000114440918,5.380000114440918,3.880000114440918,,6.630000114440918,6.5,7.0,4.75,5.25,3.880000114440918,7.380000114440918,6.25,,8.5,,,5.400000095367432,1.399999976158142,,,9.5,9.5,,3.25,8.75,,,6.43,3.57,7.710000038146973,7.289999961853027,,,,,,,,,,,2020.1
28,be,west,EU member state,2006.0,7.0,102.0,21322.0,PS,13.0,16.7,2003.0,13.5,socialist,in government,5.71,4.2999997,3.43,,,6.5,,neutral toward expanding EU powers on the internal market,,,,6.67,,,5.83,6.0,3.5,3.17,,,,2.83,,,,2.6700000762939453,6.5,2.3299999237060547,6.829999923706055,2.0,8.0,,3.6700000762939453,6.5,2.3299999237060547,5.670000076293945,1.3300000429153442,5.670000076293945,2.5,6.329999923706055,,4.2,,,4.400000095367432,3.0,,,3.17,4.33,,6.17,7.0,,,2.67,3.5,3.1700000762939453,6.329999923706055,,,,,,,,,,,2020.1
29,be,west,EU member state,2006.0,7.0,108.0,21522.0,CDH,5.5,5.3,2003.0,5.699999809265137,christdem,not in government,6.57,3.3333333,0.86,,,6.33,,5.83,,,,6.5,,,6.33,4.2,5.5,5.83,,,,6.67,,,,4.670000076293945,5.670000076293945,4.670000076293945,5.670000076293945,4.0,6.329999923706055,,6.0,5.829999923706055,6.5,5.329999923706055,5.829999923706055,6.829999923706055,4.829999923706055,6.829999923706055,,5.0,,,6.800000190734863,4.0,,,4.83,4.17,,7.0,7.67,,,5.0,3.0,3.6700000762939453,6.170000076293945,,,,,,,,,,,2020.1
30,be,west,EU member state,2006.0,10.0,112.0,21917.0,VB,11.6,12.0,2003.0,14.300000190734863,rad right,not in government,2.5,3.6666663,1.67,,,4.33,,4.33,,,,4.29,,,3.88,strongly opposes,9.67,7.13,,,,9.5,,,,6.75,3.5,5.670000076293945,3.130000114440918,6.139999866485596,2.630000114440918,,9.880000114440918,9.630000114440918,9.670000076293945,7.630000114440918,6.880000114440918,6.0,9.880000114440918,9.880000114440918,,10.0,,,4.400000095367432,1.600000023841858,,,9.88,9.75,,3.25,8.75,,,6.0,4.29,10.0,10.0,,,,,,,,,,,2020.1
31,be,west,EU member state,2006.0,7.0,104.0,21111.0,ECOLO,3.1,2.7,2003.0,3.700000047683716,green,not in government,5.57,4.2999997,3.86,,,6.83,,3.67,,,,6.5,,,5.67,6.2,2.83,3.5,,,,1.67,,,,2.8299999237060547,5.5,2.0,6.5,2.0,6.0,,2.3299999237060547,6.329999923706055,1.5,7.0,1.3300000429153442,4.670000076293945,2.0,5.829999923706055,,2.0,,,4.599999904632568,3.8299999237060547,,,1.5,5.67,,6.33,6.17,,,1.5,4.67,2.3299999237060547,6.829999923706055,,,,,,,,,,,2020.1
