ID_GPS,ISO,Country,Partyname,Partyabb,CPARTY,CPARTYABB,Region,Experts,Min_Experts,TYPES,Type_Values,Type_Populism,Type_Populist_Values,Type_Partysize_vote,Type_Partysize_seat,CORE_GPS_ITEMS,V1,V2,V3,V4_Scale,V4_Bin,V4_Ord,V5,V6_Scale,V6_Bin,V6_Ord,V7,V8_Scale,V8_Bin,V8_Ord,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,METAEXPERT,YoB,Gender,Born,Citizen,Partysupport,Ideology,Difficulty,LocationLatitude,LocationLongitude,Language,METAPARTY,Elec_code,Elec_year,PartyPerVote,PartyPerSeats,ENEP,ENPP,LSQINDEX,CHES_lrecon,CHES_lrecon_salience,CHES_galtan,CHES_galtan_salience,CHES_immigrate_policy,CHES_ethnic_minorities,CHES_people_vs_elite,CHES_experts,CHES_vote,CHES_seat,CHES_electionyear,CHES_family,CHES_govt,PG_family,PG_left_right,PG_state_market,PG_liberty_authority,PG_eu_anti_pro,Popu_List,WVS_LR_PartyVoter,WVS_LibCon_PartyVoter,WVS_Polmistrust_PartyVoter,WVS_LR_MedianVoter,WVS_LibCon_MedianVoter,LRdistancemedianvoter,LCdistancemedianvoter,LRdistanceownvoters,LCdistanceownvoters,PARTYIDCODES,ID_ParlGov,ID_PartyFacts,ID_CHES,ID_ESS,ID_CMP,ID_castles_mair,ID_huber_inglehart,ID_ray,ID_benoit_laver,ID_EES,ID_WVS,METACOUNTRY,CountryName,ID_Cow,ID_VDem,Region_9,Region_10,Region_19,OECD,EU,EURegion,polity,polity2,FH_Regime,FH_PoliticalRights,FH_CivilLiberties,Area,Pop1990,Pop2000,Pop2018,GDP,Longevity,Corruption,Electoral_Integrity,VDem_regime,v2x_polyarchy,v2x_libdem,v2xel_frefair,v2elfrfair,v2elfrfair_osp,v2elfrfair_ord,v2elloelsy,v2elparlel,v2elncbpr,Turnout,v2eltrnout,v2elvaptrn,v2psbars,v2psbars_osp,v2psbars_ord,v2psorgs,v2psorgs_osp,v2psorgs_ord,v2psprbrch,v2psprbrch_osp,v2psprbrch_ord,v2psprlnks,v2psprlnks_osp,v2psprlnks_ord,v2psplats,v2psplats_osp,v2psplats_ord,v2xnp_client,v2xps_party
1,AFG,Afghanistan,Islamic Society,JI,AFG_ Islamic Society,AFG_ JI,6,11,1, ,4,4,4, , , ,6.6,4.33333333333333,5.5,7,1,3,4,8.33333333333333,1,4,4.33333333333333,9.33333333333333,1,4,9.33333333333333,3.33333333333333,8,3,4.33333333333333,7.5,5.66666666666667,7.6,8.25,7,7.5,8.66666666666667,3, ,1974.5,1,.5,.5,5.33333333333333,5.5,7,42.6663970947266,5.77952575683594,EN, ,AFG_20102018_L1,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5183, , , , , , , , ,-9, ,Afghanistan,700,36,4,8,14,0,0, ,-1,-1,0,5,6,643557.141,12412308,20779953,37172386,1734.72321415839,58.7,16,33.915283203125,1,.367,.233,.183,-.816,1.838,2,10,3,4, ,45.23,21.81,.931,3.327,4,-.063,1.634,1,-.132,1.401,1,-.081,1.901,2,-.322,1.561,1,.685,.295
2,AFG,Afghanistan,Islamic Unity Party of Afghanistan,HWIA,AFG_ Islamic Unity Party of Afghanistan,AFG_ HWIA,6,11,1, ,4,4,4, , , ,7.28571428571429,3.66666666666667,5.75,5,1,3,4.5,8.33333333333333,1,4,5.16666666666667,9,1,4,8.75,4,5.6,3,5.5,5.5,.5,5.25,8, ,8.2,6,4, ,1974.5,1,.5,.5,5.33333333333333,5.5,7,42.6663970947266,5.77952575683594,EN, ,AFG_20102018_L1,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5876, , , , , , , , ,-9, ,Afghanistan,700,36,4,8,14,0,0, ,-1,-1,0,5,6,643557.141,12412308,20779953,37172386,1734.72321415839,58.7,16,33.915283203125,1,.367,.233,.183,-.816,1.838,2,10,3,4, ,45.23,21.81,.931,3.327,4,-.063,1.634,1,-.132,1.401,1,-.081,1.901,2,-.322,1.561,1,.685,.295
3,AFG,Afghanistan,National Islamic Movement of Afghanistan,Junbish,AFG_ National Islamic Movement of Afghanistan,AFG_ Junbish,6,11,1, ,2,4,4, , , ,6.71428571428571,5,5.5,4,0,2,3.33333333333333,8.5,1,4,5,9,1,4,9.5,5.33333333333333,8,4,4,9.33333333333333,5.75,6.8,8.6,6,9.25,6.5,5, ,1974.5,1,.5,.5,5.33333333333333,5.5,7,42.6663970947266,5.77952575683594,EN, ,AFG_20102018_L1,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,6644, , , , , , , , ,-9, ,Afghanistan,700,36,4,8,14,0,0, ,-1,-1,0,5,6,643557.141,12412308,20779953,37172386,1734.72321415839,58.7,16,33.915283203125,1,.367,.233,.183,-.816,1.838,2,10,3,4, ,45.23,21.81,.931,3.327,4,-.063,1.634,1,-.132,1.401,1,-.081,1.901,2,-.322,1.561,1,.685,.295
4,AFG,Afghanistan,People's Islamic Unity Party of Afghanistan,PIUPA,AFG_ People's Islamic Unity Party of Afghanistan,AFG_ PIUPA,6,11,1, ,4,4,4, , , ,7.28571428571429,5.2,6.4,5,1,3,5.33333333333333,8,1,4,5.16666666666667,8.75,1,4,8.75,5,5.4,2.5,6,5.5,3.75,5.2,8,2.5,9.25,6.75,4.4, ,1974.5,1,.5,.5,5.33333333333333,5.5,7,42.6663970947266,5.77952575683594,EN, ,AFG_20102018_L1,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , ,HR-4-3, , , , , , ,-9, ,Afghanistan,700,36,4,8,14,0,0, ,-1,-1,0,5,6,643557.141,12412308,20779953,37172386,1734.72321415839,58.7,16,33.915283203125,1,.367,.233,.183,-.816,1.838,2,10,3,4, ,45.23,21.81,.931,3.327,4,-.063,1.634,1,-.132,1.401,1,-.081,1.901,2,-.322,1.561,1,.685,.295
5,AFG,Afghanistan,Republican Party of Afghanistan,RPA,AFG_ Republican Party of Afghanistan,AFG_ RPA,6,11,1, ,2,3,4, , , ,5,5,5.25,4,0,2,6,8.5,1,4,4.25,7,1,3,8.25,5,6,2.5,5.66666666666667,2.33333333333333,1.66666666666667,1.33333333333333,7.6,4.66666666666667,6.5,5.8,2.5, ,1974.5,1,.5,.5,5.33333333333333,5.5,7,42.6663970947266,5.77952575683594,EN, ,AFG_20102018_L1,2018, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , ,HU-5-1, , , , , , ,-9, ,Afghanistan,700,36,4,8,14,0,0, ,-1,-1,0,5,6,643557.141,12412308,20779953,37172386,1734.72321415839,58.7,16,33.915283203125,1,.367,.233,.183,-.816,1.838,2,10,3,4, ,45.23,21.81,.931,3.327,4,-.063,1.634,1,-.132,1.401,1,-.081,1.901,2,-.322,1.561,1,.685,.295
6,AGO,Angola,Broad Convergence for the Salvation of Angola – Electoral Coalition,CASA-CE,AGO_ Broad Convergence for the Salvation of Angola – Elect,AGO_ CASA-CE,4,10,1, ,4,3,4,2,2, ,8,5.4,6.66666666666667,5.66666666666667,1,3,8.2,7,1,3,5.5,5.83333333333333,1,3,7,10,4.33333333333333,1,4.8,2.16666666666667,5.33333333333333,4.5,5,3.5,4.5,7.33333333333333,.6, ,1971.33333333333,1,.166666666666667,.166666666666667,6,5,7,38.6635513305664,3.17213439941406,EN, ,AGO_23082017_L1,2017,9.4,7.3,2.20398789569848,1.907003087438,5.80861429258304, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,3556, , , , , , , , ,-9, ,Angola,540,104,1,4,7,0,0, ,-2,-2,0,6,6,1254965.956,11848386,16395473,30809762,5725.32723774516,65.2,19,38.7700958251953,1,.37,.197,.288, , , , , , ,76.1, , ,.905,3.308,4,.723,2.397,3,.076,1.572,1,.054,2.025,2,-.209,1.683,1,.59,.534
7,AGO,Angola,National Front for the Liberation of Angola,FNLA,AGO_ National Front for the Liberation of Angola,AGO_ FNLA,4,10,1, ,4,3,4,1,1, ,7.11111111111111,1.83333333333333,7.5,7,1,3,7.25,8.8,1,4,5.66666666666667,6.6,1,3,8.25,6.5,8,1.5,2,2.33333333333333,1.5,8,7.25,2.5,4.66666666666667,7.25,1.75, ,1971.33333333333,1,.166666666666667,.166666666666667,6,5,7,38.6635513305664,3.17213439941406,EN, ,AGO_23082017_L1,2017,.9,.5,2.20398789569848,1.907003087438,5.80861429258304, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,5131, , , , , , , , ,-9, ,Angola,540,104,1,4,7,0,0, ,-2,-2,0,6,6,1254965.956,11848386,16395473,30809762,5725.32723774516,65.2,19,38.7700958251953,1,.37,.197,.288, , , , , , ,76.1, , ,.905,3.308,4,.723,2.397,3,.076,1.572,1,.054,2.025,2,-.209,1.683,1,.59,.534
8,AGO,Angola,National Union for the Total Independence of Angola,UNITA,AGO_ National Union for the Total Independence of Angola,AGO_ UNITA,4,10,1, ,4,3,4,3,3, ,9.5,8.33333333333333,4,5.6,1,3,9.2,8.2,1,4,6.2,6.28571428571429,1,3,7,9,4,2,2.75,2.33333333333333,4.66666666666667,5.5,6.4,3,5.75,7.4,.75, ,1971.33333333333,1,.166666666666667,.166666666666667,6,5,7,38.6635513305664,3.17213439941406,EN, ,AGO_23082017_L1,2017,26.7,23.2,2.20398789569848,1.907003087438,5.80861429258304, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,2343, , , , , , , , ,-9, ,Angola,540,104,1,4,7,0,0, ,-2,-2,0,6,6,1254965.956,11848386,16395473,30809762,5725.32723774516,65.2,19,38.7700958251953,1,.37,.197,.288, , , , , , ,76.1, , ,.905,3.308,4,.723,2.397,3,.076,1.572,1,.054,2.025,2,-.209,1.683,1,.59,.534
9,AGO,Angola,People's Movement for the Liberation of Angola,MPLA,AGO_ People's Movement for the Liberation of Angola,AGO_ MPLA,4,10,1, ,2,4,4,3,3, ,9.33333333333333,7.25,4.16666666666667,3.5,0,2,9,8.2,1,4,5.6,8,1,4,7.5,9.25,2,2,4,2.16666666666667,8.33333333333333,9.25,9.33333333333333,5.33333333333333,5.83333333333333,4.8,8, ,1971.33333333333,1,.166666666666667,.166666666666667,6,5,7,38.6635513305664,3.17213439941406,EN, ,AGO_23082017_L1,2017,61.1,68.2,2.20398789569848,1.907003087438,5.80861429258304, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,2298, , , , , , , , ,-9, ,Angola,540,104,1,4,7,0,0, ,-2,-2,0,6,6,1254965.956,11848386,16395473,30809762,5725.32723774516,65.2,19,38.7700958251953,1,.37,.197,.288, , , , , , ,76.1, , ,.905,3.308,4,.723,2.397,3,.076,1.572,1,.054,2.025,2,-.209,1.683,1,.59,.534
10,AGO,Angola,Social Renewal Party,PRS,AGO_ Social Renewal Party,AGO_ PRS,4,10,1, ,4,3,4,1,1, ,7.14285714285714,6.5,8,5.75,1,3,7.2,8.6,1,4,6.16666666666667,7,1,3,7.2,9.33333333333333,9.33333333333333,1,3.75,1.75,0,4.66666666666667,6.2,2.5,4.75,7,2.25, ,1971.33333333333,1,.166666666666667,.166666666666667,6,5,7,38.6635513305664,3.17213439941406,EN, ,AGO_23082017_L1,2017,1.4,.9,2.20398789569848,1.907003087438,5.80861429258304, , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , ,2342, , , , , , , , ,-9, ,Angola,540,104,1,4,7,0,0, ,-2,-2,0,6,6,1254965.956,11848386,16395473,30809762,5725.32723774516,65.2,19,38.7700958251953,1,.37,.197,.288, , , , , , ,76.1, , ,.905,3.308,4,.723,2.397,3,.076,1.572,1,.054,2.025,2,-.209,1.683,1,.59,.534
11,ALB,Albania,Democratic Party of Albania,PD,ALB_ Democratic Party of Albania,ALB_ PD,1,13,1, ,4,3,4,3,3, ,8.5,5,5.11111111111111,5.71428571428571,1,3,7.9,5.125,1,3,5.42857142857143,7.11111111111111,1,3,8.44444444444444,4.66666666666667,7.44444444444444,4,8.375,2.90909090909091,2.5,5.33333333333333,8.33333333333333,6.55555555555556,5.875,7.7,4.4, ,1976.63636363636,.416666666666667,1,1, ,5.33333333333333,9.16666666666667,42.2765518188477,18.2364639282227,EN, ,ALB_25062017_L1,2017,28.8,30.7,2.94801760556114,2.54403728541045,4.12492424172857, , , , , , , , , , , , , , , , , , ,0,7.9454450066133,7.7725468042315,80.0987938760321,5.33,7.5767,.384285714285714,-2.4517,-2.23115929232758,-2.6475468042315, , ,190,4105, ,75624, , , , , ,8002, ,Albania,339,12,5,1,3,0,0, ,9,9,1,3,3,28680.714,3286542,3089027,2866376,12316.0715010455,78,36,53.8312683105469,3,.519,.429,.54, , , , , , ,46.8, , ,1.471,3.652,4,-.444,1.289,1,.157,1.638,1,-.622,1.372,1,.475,2.45,3,.79,.446
